tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,year,latitude,longitude
2026-9900,Sydney,Hard,18,A,20260105,2026,-33.8698439,151.2082848
2026-9900,Perth,Hard,18,A,20260105,2026,-31.9558967,115.8605784
2026-0336,Hong Kong,Hard,28,A,20260105,2026,22.3492155,114.1857978
2026-8998,Adelaide,Hard,28,A,20260112,2026,-34.9281805,138.5999312
2026-0301,Auckland,Hard,28,A,20260112,2026,-36.852095,174.7631803
2026-580,Melbourne,Hard,128,G,20260119,2026,-37.8142454,144.9631732
2026-0375,Montpellier,Hard,28,A,20260202,2026,43.6112422,3.8767337
2026-0506,Buenos Aires,Clay,28,A,20260209,2026,-34.6095579,-58.3887904
2026-0424,Dallas,Hard,32,A,20260209,2026,32.7762719,-96.7968559
2026-0407,Rotterdam,Hard,32,A,20260209,2026,51.9244424,4.47775
2026-0499,Delray Beach,Hard,28,A,20260216,2026,26.4614625,-80.0728201
2026-0451,Doha,Hard,32,A,20260216,2026,25.3108807,51.5081812
2026-6932,Rio de Janeiro,Clay,32,A,20260216,2026,-22.9110137,-43.2093727
2026-0807,Acapulco,Hard,32,A,20260223,2026,16.8680495,-99.8940182
2026-0495,Dubai,Hard,32,A,20260223,2026,25.0742823,55.1885387
2026-8996,"Santiago, Chile",Clay,28,A,20260223,2026,-33.4376995,-70.6510671
2026-0404,Indian Wells,Hard,96,M,20260304,2026,33.7217965,-116.338303
2026-0403,Miami,Hard,96,M,20260318,2026,25.7741566,-80.1935973
2026-4462,Bucharest,Clay,28,A,20260330,2026,44.4361414,26.102684
2026-0717,Houston,Clay,28,A,20260330,2026,29.7589382,-95.3676974
2026-0360,Marrakech,Clay,28,A,20260330,2026,31.6258257,-7.9891608
2026-0410,Monte Carlo,Clay,56,M,20260405,2026,43.7402961,7.426559
2026-0425,Barcelona,Clay,32,A,20260413,2026,41.3825802,2.177073
2026-0308,Munich,Clay,32,A,20260413,2026,48.1371079,11.5753822
2026-1536,Madrid,Clay,96,M,20260422,2026,40.416782,-3.703507
2026-0416,Rome,Clay,96,M,20260506,2026,41.8933203,12.4829321
2026-0322,Geneva,Clay,28,A,20260517,2026,46.2017559,6.1466014
2026-0414,Hamburg,Clay,32,A,20260517,2026,53.5501721,10.0013165
2026-520,Paris,Clay,128,G,20260525,2026,48.8588897,2.320041
