tourney_name,latitude,longitude
Shenzhen,22.5445741,114.0545429
Slovenska Bistrica,46.4073813,15.5635933
M25+H Mulhouse,47.5618658,7.4882664
Bhubaneswar,20.2602964,85.8394521
Pirot,43.1547342,22.5865039
Trnava,48.3767652,17.5858175
Ann Arbor MI,42.2813722,-83.7484616
Bodrum,37.0343987,27.430651
Sanxenxo,42.4220772,-8.8353365
Santa Cruz,28.467178,-16.2507843
Edmonton,53.5462055,-113.491241
Ahmedabad,23.0215374,72.5800568
Tauranga,-37.6859006,176.167505
Celje,46.2293889,15.2616828
Vale do Lobo,-29.4821108,-51.2914435
Hua Hin,12.5699326,99.9573437
Baotao,44.7250564,119.6063645
Mungia-Laukariz,43.3384457,-2.8528127
Louisville KY,38.2542376,-85.759407
Javea,38.7893804,0.1634168
Caloundra,-26.7981633,153.1354434
CEUTA,35.894422,-5.3558174
Vaasa,63.0957722,21.6159187
Prague,50.0874654,14.4212535
Rovinj,45.0807411,13.6417282
Champaign,40.1164841,-88.2430932
Villeneuve-Loubet,43.6579947,7.1217592
Alkmaar,52.6008538,4.8170994
Klosters,46.8829097,9.8750678
Ollersbach,48.1873864,15.8440588
Dharwad,15.3707296,75.1332867
Rio Cuarto,-33.1237585,-64.3489782
Store,46.1979164,15.3276728
Anning,24.8377491,102.4026832
Castelldefels,41.2861022,1.9824173
Les Franqueses del Valles,41.647559,2.3091778
Buzau,45.2692582,26.7748173
Darwin,-12.46044,130.8410469
Gwalior,26.2037247,78.1573628
Cairns,-16.9206657,145.7721854
Bengaluru,12.9767936,77.590082
Badalona,41.4493539,2.248254
Trimbach,48.9399791,8.0235967
Sunrise FL,26.1666888,-80.2787573
Caslano,45.9708722,8.8836544
Roda de Bara,41.1857961,1.4569904
Cuiaba,-15.5986686,-56.0991301
Sapporo,43.061936,141.3542924
Hradec Kralove,50.2092113,15.8327512
Sarajevo,43.8570713,18.4126147
La Nucia,38.6133727,-0.1257319
Esch-sur-Alzette,49.4959628,5.9850306
Nottingham,52.9534193,-1.1496461
Raanana,32.1860244,34.8678359
Eupen,50.6305665,6.0312717
HUAMANTLA,19.3233319,-97.9145665
Lucknow,26.8381,80.9346001
Lakewood CA,33.8503463,-118.117191
Maringa,-23.425269,-51.9382078
Uriage,45.1507233,5.8383075
Torello,44.4461218,7.1029197
Fuzhou,26.0774954,119.2918215
Punta del Este,-34.9632342,-54.9439981
Trelew,-43.2531242,-65.3094407
Santa Margherita di Pula,38.9581039,8.9592681
Forli,44.2227278,12.041273
Danderyd,59.4043647,18.0358505
Morelia,19.6546004,-101.2623797
Columbus,39.9622601,-83.0007065
Wellington,-41.2887953,174.7772114
Cap d'Agde,43.2845374,3.5117752
Nevers,46.9876601,3.1577203
Santa Tecla,13.673752,-89.2885987
Oslo,59.9133301,10.7389701
Tabasco,17.9999288,-92.6681659
Koszalin,54.2071799,16.2175411
Krsko,45.9576446,15.4946767
Orange Park FL,30.1654707,-81.7016346
Saarlouis,49.3164661,6.749846
Bistrita,47.1327012,24.4963949
Jakarta,-6.1754049,106.827168
Montesilvano,42.5136032,14.1516203
Lons-le-Saunier,46.6727037,5.5589973
Lujan,44.26833,11.3234319
Tianjin,39.3032619,117.4163641
Bologna,44.4938203,11.3426327
Maringá,-23.425269,-51.9382078
Carrara,44.0796519,10.0977529
Ajaccio+H,41.9190973,8.7912225
Valldoreix,41.4574698,2.0476516
Calabasas CA,34.1446643,-118.644097
Fayetteville AR,36.0625843,-94.1574328
Novi Sad,45.2551338,19.8451756
Phan Thiet,10.9028645,108.0632846
Lexington KY,38.0464066,-84.4970393
Vila Real de Santo António,37.1946052,-7.4155628
Troisdorf,50.8153071,7.1593271
Frascati,41.8082452,12.6803684
Värnamo,57.184902,14.0410977
Changwon,35.227956,128.6818586
Villach,46.6167284,13.8500268
Bhopal,23.2584857,77.401989
Telavi,41.9197221,45.4703169
South Bend,41.6833813,-86.2500066
Arlon,49.6834601,5.8167711
Edmond OK,35.6571367,-97.4649038
Castellon,40.2518568,-0.0615052
Ceska Lipa,50.6865452,14.5372974
Pescara,42.3102619,13.9575901
Kalmar,56.6628826,16.3662382
Split,43.5116383,16.4399659
Mosquera,4.7002001,-74.2385058
Antalya,36.8865728,30.7030242
Oegstgeest,52.185433,4.4738856
Ajaccio,41.9263991,8.7376029
Winston-Salem NC,36.0998131,-80.2440518
Harlingen TX,26.1907543,-97.6960599
Kashiwa,35.8676218,139.9756876
Gurb,41.9409869,2.2433019
Traralgon,-38.1946636,146.5381646
Reggio Emilia,44.6086674,10.5940667
Kassel,51.3157833,9.4978479
Columbus OH,39.9622601,-83.0007065
Andong,40.1237658,124.3821748
Hurghada,27.222556,33.8307062
Ibague,4.4386033,-75.2108857
Cervia,44.2609836,12.3495462
Netanya,32.3286181,34.8566246
Tavira,37.1262493,-7.6499121
Salta,-25.2269908,-64.5911956
Lambermont,50.8429244,4.3654807
Bragado,-35.1155766,-60.489771
Luzhou,28.5297899,105.5382725
Saint-Dizier,48.6371125,4.9473513
Tallahassee,30.4380832,-84.2809332
Tashkent,41.3123363,69.2787079
Ljubljana,46.0500268,14.5069289
Lima,-12.0459808,-77.0305912
San Jose,37.3361663,-121.890591
Casablanca,33.5945144,-7.6200284
Las Vegas NV,36.1674263,-115.1484131
Litija,46.0496825,14.9910757
Xativa,38.988085,-0.5200428
Austin TX,30.2711286,-97.7436995
Klagenfurt,46.623943,14.3075976
Southaven MS,34.9873822,-90.0034862
Vejle,55.707931,9.5329419
Chandigarh,30.7334421,76.7797143
Bakersfield CA,35.3738712,-119.019463
Barueri,-23.5112184,-46.8764612
Papamoa,-37.7026447,176.2843664
Loulé,37.1399532,-8.023324
Santander,43.4618932,-3.8100255
Zapopan,20.7211203,-103.3913671
Carnac,47.5836629,-3.0794428
Tbilisi,41.6934591,44.8014495
Huzhou,30.8942995,120.0851114
Opatija,45.3349238,14.3067834
Tucuman,-27.0448424,-65.3657954
Brasov,45.6525105,25.6105654
Sheffield,53.3806626,-1.4702278
Villena,38.6360967,-0.8659745
Los Angeles CA,34.0536909,-118.242766
Dubrovnik,42.6491029,18.0939501
Brcko,44.8771222,18.8095022
Luanda,-8.8272699,13.2439512
Bagnoles de l'Orne +H,48.5539388,-0.4229186
Denia,38.8408382,0.1061105
Yinchuan,38.4871699,106.2266569
Mulhouse,47.7467233,7.3389937
Bagneres-de-Bigorre,43.0658212,0.1530914
Bagnoles de l'Orne,48.5539388,-0.4229186
Rodez,44.3511408,2.5728493
Tauste,41.9202822,-1.2543731
Plaisir,48.817399,1.9476363
Bastia-Lucciana,42.5459392,9.4175597
Aarhus DEN,56.1589632,10.1915221
Addis Ababa ETH,9.0191999,38.7348362
Agadir MAR,30.4454734,-9.656961
Ahmedabad IND,23.0185001,72.6577647
Aktobe KAZ,50.295559,57.1746289
Albuquerque NM USA,35.0841034,-106.650985
Ann Arbor MI USA,42.2813722,-83.7484616
Antalya TUR,36.8997204,30.7625412
Arlon BEL,49.600173,5.8195961
Astana KAZ,51.1807653,71.374115
Asuncion PAR,-25.2964921,-57.6382576
Austin TX USA,30.2711286,-97.7436995
Bakersfield CA USA,35.3738712,-119.019463
Bali INA,-8.6764773,115.2180591
Bath GBR,47.7456459,12.9138728
Belem BRA,11.8537386,-15.6003395
Belgrade SRB,44.8025536,20.3827461
Bengaluru IND,12.9941023,77.7319134
Bhopal IND,23.2715818,77.4474775
Bhubaneswar IND,20.348261,85.8159418
Boca Raton FL USA,26.367379,-80.1737932
Boca Raton USA,26.3586885,-80.0830984
Bodrum TUR,37.0276907,27.3787643
Bologna ITA,44.5091977,11.3465674
Bolzano ITA,47.0,12.0
Brcko BIH,44.8771222,18.8095022
Brisbane AUS,-27.4348274,152.9889139
Brussels BEL,50.8662678,4.3490827
Bucaramanga COL,7.1097643,-73.110541
Budapest HUN,47.5230382,19.0766068
Buenos Aires ARG,-34.4708742,-58.6544118
Cairo EGY,30.0027074,31.4852259
Calabasas CA USA,34.1446643,-118.644097
Casablanca MAR,43.2983184,13.4534183
Castelo Branco POR,40.2405566,-7.5182904
Cattolica ITA,-25.5105117,-57.3630607
Champaign IL USA,40.1164841,-88.2430932
Champaign USA,40.1164841,-88.2430932
Chandigarh IND,30.7130349,76.8001084
Chennai IND,12.981131,80.252613
Cochabamba BOL,-17.3753639,-66.1619948
Columbus OH USA,39.9622601,-83.0007065
Columbus USA,39.9622601,-83.0007065
Cordoba ARG,-31.3851577,-64.1176495
Cordoba ESP,8.7381922,-75.8574364
Dallas TX USA,32.7762719,-96.7968559
Dallas USA,32.7762719,-96.7968559
Davangere IND,14.4245489,75.9370547
Decatur USA,39.8454163,-88.9524151
Dharwad IND,15.3598654,75.0466235
Doboj BIH,44.7324559,18.0850157
Doha QAT,25.2535572,51.5350608
Dublin IRL,53.403601,-6.2172435
East Lansing MI USA,42.7320307,-84.4721678
Edmond OK USA,35.6571367,-97.4649038
Edmonton CAN,-43.5556237,172.5159634
Edwardsville IL USA,38.8114364,-89.953157
Edwardsville USA,38.8114364,-89.953157
Esch-sur-Alzette LUX,49.5135575,5.9946781
Esch/Alzette LUX,49.4634985,6.0321399
Eupen BEL,50.6337886,6.0371924
Faro POR,37.1398628,-8.5882573
Fayetteville AR USA,36.0625843,-94.1574328
Figueira da Foz POR,40.1249538,-8.8626513
Frascati ITA,51.0505705,3.7141752
Fuzhou CHN,43.851948,125.3979227
Gentofte DEN,55.746415,12.541876
Gold Coast AUS,-28.0752851,153.3637173
Grasse FRA,43.5553368,7.0185492
Grenoble FRA,40.0006475,-83.0507572
Guatemala GUA,14.5832025,-90.5271541
Guiyang CHN,43.8965217,125.3218995
Gyula HUN,47.5243131,19.0749427
HUAMANTLA MEX,19.3217372,-97.9222774
Harlingen TX USA,26.1907543,-97.6960599
Harmon GUM,13.4864902,144.8020603
Hillcrest RSA,-29.775555,30.765556
Hong Kong HKG,22.2818333,114.1582831
Hradec Kralove CZE,50.1742056,15.7913145
Hua Hin THA,12.6368554,99.9510278
Huamantla MEX,19.3244197,-97.9212396
Huntsville AL USA,33.5599563,-86.8010317
Hurghada EGY,27.2532395,33.8297444
Huy BEL,50.4898135,5.2265498
Hyderabad IND,12.9714038,77.7068869
Hyvinkaa FIN,60.643189,24.8481895
Ibague COL,22.1546835,-100.8994277
Indore IND,22.7391478,75.8553317
Ipoh Perak MAS,4.6276983,101.135806
Irvine USA,33.6856969,-117.825981
Islamabad PAK,33.468563,73.1955884
Ithaca NY USA,42.4374175,-76.5483724
Jakarta INA,-6.2492432,106.8431572
Kalaburagi IND,17.3220827,76.8217278
Kayseri TUR,38.4888607,36.2683233
Kigali RWA,-2.0022208,30.092579
Kingston JAM,17.975215,-76.8175653
Kiseljak BIH,43.9431668,18.0774711
Koksijde BEL,51.1189622,2.6353332
Kolkata IND,12.9717655,77.7072893
Krakow POL,50.0909946,19.8434414
Kuala Lumpur MAS,3.119294,101.7249994
Kuching MAS,1.2059613,110.4285015
Kutaisi GEO,42.2612577,42.7149739
La Paz BOL,10.4313021,-75.5220195
Lajeado BRA,-23.529779,-46.395668
Lakewood CA USA,33.8503463,-118.117191
Lakewood USA,39.7085736,-105.0846694
Lambermont BEL,50.8690586,4.3841821
Las Vegas NV USA,36.1674263,-115.1484131
